タイムスタンプ,あなたの年齢層を教えて下さい,あなたは学生ですか？それとも社会人ですか？,あなたの性別を教えて下さい,あなたには一ヶ月内遅刻の経験がどれぐらいありますか（仕事・授業）？,自分自身が遅刻が多いとおもわれますか？,遅刻したや遅刻しそうな時はどうやって対応しますか？,あなたはどうやって遅刻しないのですか？,プロジェクト等長い時間が必要な活動に参加する時、どんなやり方で参加する？,先述べた活動で、一人でやる時と複数の人とチーム組んでやる時は、時間管理は同じですか？,他の人とチーム組む時、自分自身の時間管理はどう思いますか？,翌日が仕事の場合は夜遅くまで娯楽したことありますか？
2015/10/23 11:17:40,４０歳～５０歳,社会人,男,一ヶ月に２回以内,多い,理由を見つけて誤魔化す,,提出や完成最終日直前でやる,,他の人より効率高い,ありません
2015/10/29 19:35:24,２０歳～３０歳,学生,男,一ヶ月に２回以内,多い,そのまま出席し、正直に謝る,,始まったら一気にやる,一人の時効率高い、チームを組むと効率低い,他の人より効率低い,ありません
2015/10/29 19:48:28,３０歳～４０歳,社会人,男,一ヶ月に遅刻なし,少ない,,いつも時間を意識している,マイペースでやる,チームじゃないと効率ない,他の人と同じ,あります
2015/10/29 19:48:46,３０歳～４０歳,社会人,男,一ヶ月に遅刻なし,少ない,,いつも時間を意識している,マイペースでやる,チームじゃないと効率ない,他の人と同じ,あります
2015/10/29 20:03:30,２０歳～３０歳,学生,男,一ヶ月に遅刻なし,少ない,,いつも時間を意識している,予定通りにやる,一人の時効率高い、チームを組むと効率低い,他の人より効率高い,ありません
2015/10/29 20:07:54,５０歳以上,ニート,男,一ヶ月に１０回以上,少ない,,いつも時間を意識している,マイペースでやる,一人の時効率高い、チームを組むと効率低い,他の人より効率高い,あります
2015/10/29 20:22:22,２０歳～３０歳,学生,男,一ヶ月に遅刻なし,少ない,,いつも時間を意識している,予定通りにやる,一人の時効率高い、チームを組むと効率低い,他の人より効率高い,あります
2015/10/30 8:40:59,２０歳～３０歳,学生,男,一ヶ月に遅刻なし,少ない,,アラームを使う,提出や完成最終日直前でやる,チームを組むときの効率も高いが、一人でもっと高い,他の人と同じ,ありません
2015/10/30 10:17:35,２０歳～３０歳,学生,男,一ヶ月に２回以内,少ない,,アラームを使う,提出や完成最終日直前でやる,チームを組むときの効率も高いが、一人でもっと高い,他の人より効率高い,あります
2015/10/30 10:39:55,５０歳以上,学生,男,一ヶ月に１０回以上,少ない,,いつも時間を意識している,提出や完成最終日直前でやる,一人の時効率高い、チームを組むと効率低い,他の人より効率高い,ありません
2015/10/30 10:40:46,５０歳以上,学生,男,一ヶ月に１０回以上,少ない,,いつも時間を意識している,提出や完成最終日直前でやる,一人の時効率高い、チームを組むと効率低い,他の人より効率高い,ありません
2015/10/30 10:59:59,２０歳～３０歳,学生,女,一ヶ月に３～５回,多い,そのまま出席し、正直に謝る,,マイペースでやる,一人のときの効率も高いが、チームでもっと高い,他の人より効率高い,あります
2015/10/30 12:37:38,２０歳～３０歳,学生,女,一ヶ月に５～１０回,多い,そのまま出席し、正直に謝る,,提出や完成最終日直前でやる,一人の時効率高い、チームを組むと効率低い,他の人より効率高い,あります
2015/10/30 12:49:38,２０歳～３０歳,学生,女,一ヶ月に遅刻なし,少ない,,いつも時間を意識している,提出や完成最終日直前でやる,一人のときの効率も高いが、チームでもっと高い,他の人と同じ,あります
2015/10/30 16:41:19,５０歳以上,社会人,男,一ヶ月に遅刻なし,少ない,,早起き（毎日４時に起きます）,予定通りにやる,チームじゃないと効率ない,他の人と同じ,あります
2015/10/30 17:20:26,３０歳～４０歳,社会人,男,一ヶ月に遅刻なし,少ない,,いつも時間を意識している,マイペースでやる,一人のときの効率も高いが、チームでもっと高い,他の人より効率低い,あります
2015/10/30 21:24:41,３０歳～４０歳,社会人,男,一ヶ月に２回以内,少ない,,アラームを使う,予定通りにやる,一人の時効率高い、チームを組むと効率低い,他の人と同じ,ありません
2015/10/30 21:42:09,３０歳～４０歳,社会人,女,一ヶ月に遅刻なし,少ない,,いつも時間を意識している,予定通りにやる,一人のときの効率も高いが、チームでもっと高い,他の人と同じ,ありません
2015/10/30 22:31:52,３０歳～４０歳,社会人,男,一ヶ月に遅刻なし,少ない,,アラームを使う,予定通りにやる,一人の時効率高い、チームを組むと効率低い,他の人より効率高い,ありません
2015/11/02 11:10:41,２０歳～３０歳,学生,男,一ヶ月に２回以内,少ない,,アラームを使う,始まったら一気にやる,チームを組むときの効率も高いが、一人でもっと高い,他の人と同じ,あります
2015/11/02 11:18:02,２０歳～３０歳,学生,男,一ヶ月に２回以内,少ない,,アラームを使う,予定通りにやる,一人のときの効率も高いが、チームでもっと高い,他の人と同じ,ありません
2015/11/02 11:19:44,１０歳～２０歳,学生,男,一ヶ月に遅刻なし,少ない,,いつも時間を意識している,マイペースでやる,一人の時効率高い、チームを組むと効率低い,他の人より効率低い,あります
2015/11/02 11:50:07,１０歳～２０歳,学生,男,一ヶ月に遅刻なし,少ない,,一時間前に着く,マイペースでやる,一人のときの効率も高いが、チームでもっと高い,他の人より効率低い,あります
2015/11/02 12:13:48,１０歳～２０歳,学生,男,一ヶ月に遅刻なし,少ない,,アラームを使う,マイペースでやる,一人のときの効率も高いが、チームでもっと高い,他の人と同じ,あります
